object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Гуманитарные науки;12512;76.86527107;57335.08726;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;62381;86.05984947;52485.10878;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;208524;77.57507643;66782.2844;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Искусство и культура;20468;73.65588183;48366.47201;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Математические и естественные науки;227;83.25123153;56677.47286;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Науки об обществе;134186;70.46850903;48608.18544;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Оборона и безопасность государства. Военные науки;2;100.0;;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Образование и педагогические науки;33167;85.75462097;46950.31442;00000000;00000000
Страна;Российская Федерация;Всего;2019;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;19838;74.48339912;54233.90998;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Гуманитарные науки;13068;73.54594975;54155.56621;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;66115;83.14599064;50858.20196;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;217673;74.56243429;64876.93991;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Искусство и культура;21298;72.07040867;47014.46573;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Математические и естественные науки;262;80.47619048;57558.88359;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Науки об обществе;137048;67.676976;47256.41592;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Образование и педагогические науки;34853;83.2755876;46425.60067;00000000;00000000
Страна;Российская Федерация;Всего;2020;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;22335;70.50363421;53978.33662;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Гуманитарные науки;13581;70.79137888;50059.60356;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;71373;78.9888995;49757.67711;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;229468;71.90489271;61060.16667;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Искусство и культура;22713;68.97814331;45000.39035;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Математические и естественные науки;269;75.65217391;50263.55611;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Науки об обществе;152888;64.15426997;45448.63676;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Образование и педагогические науки;35982;80.40314885;45920.21887;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;23790;66.44764631;51995.41377;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Гуманитарные науки;15226;67.04782508;47074.11177;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Здравоохранение и медицинские науки;74981;75.60812251;47591.68091;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Инженерное дело, технологии и технические науки;238702;63.83214345;55376.57258;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Искусство и культура;24207;65.96844686;41722.65837;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Математические и естественные науки;179;67.12328767;46321.3675;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Науки об обществе;178139;60.35896591;42683.65068;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Образование и педагогические науки;39493;78.33370008;43634.6732;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: специалисты среднего звена;Сельское хозяйство и сельскохозяйственные науки;25513;59.5354688;48253.67561;00000000;00000000
