region_code,object_name,eng_name
1,Республика Адыгея,Adygey
3,Алтайский край,Altay
4,Республика Крым,Crimea
4,Амурская область,Amur
5,Архангельская область,Arkhangel'sk
6,Астраханская область,Astrakhan'
7,Pеспублика Башкортостан,Bashkortostan
8,Белгородская область,Belgorod
9,Брянская область,Bryansk
10,Республика Бурятия,Buryat
11,Чеченская Республика,Chechnya
12,Челябинская область,Chelyabinsk
13,Забайкальский край,Zabaikalskiy Krai
14,Чукотский АО,Chukot
15,Республика Чувашия,Chuvash
16,Санкт-Петербург,City of St. Petersburg
17,Республика Дагестан,Dagestan
19,Республика Алтай,Gorno-Altay
20,Республика Ингушетия,Ingush
20,Севастополь,Sevastopol'
21,Иркутская область,Irkutsk
22,Ивановская область,Ivanovo
23,Кабардино-Балкарская Республика,Kabardin-Balkar
24,Калининградская область,Kaliningrad
25,Республика Калмыкия,Kalmyk
26,Калужская область,Kaluga
27,Камчатский край,Kamchatka
28,Карачаево-Черкесская Республика,Karachay-Cherkess
29,Республика Карелия,Karelia
30,Кемеровская область,Kemerovo
31,Хабаровский край,Khabarovsk
32,Республика Хакасия,Khakass
33,Ханты-Мансийский АО,Khanty-Mansiy
34,Кировская область,Kirov
36,Республика Коми,Komi
38,Костромская область,Kostroma
39,Краснодарский край,Krasnodar
40,Красноярский край,Krasnoyarsk
41,Курганская область,Kurgan
42,Курская область,Kursk
43,Ленинградская область,Leningrad
44,Липецкая область,Lipetsk
45,Магаданская область,Maga Buryatdan
46,Республика Марий Эл,Mariy-El
47,Республика Мордовия,Mordovia
48,Москва,Moscow City
49,Московская область,Moskva
50,Мурманская область,Murmansk
51,Ненецкий АО,Nenets
52,Нижегородская область,Nizhegorod
53,Республика Северная Осетия - Алания,North Ossetia
54,Новгородская область,Novgorod
55,Новосибирская область,Novosibirsk
56,Омская область,Omsk
57,Орловская область,Orel
58,Оренбургская область,Orenburg
59,Пензенская область,Penza
60,Пермский край,Perm'
61,Приморский край,Primor'ye
62,Псковская область,Pskov
63,Ростовская область,Rostov
64,Рязанская область,Ryazan'
65,Республика Саха (Якутия),Sakha
66,Сахалинская область,Sakhalin
67,Самарская область,Samara
68,Саратовская область,Saratov
69,Смоленская область,Smolensk
70,Ставропольский край,Stavropol'
71,Свердловская область,Sverdlovsk
72,Тамбовская область,Tambov
73,Республика Татарстан,Tatarstan
75,Томская область,Tomsk
76,Тульская область,Tula
77,Республика Тыва,Tuva
78,Тверская область,Tver'
79,Тюменская область,Tyumen'
80,Удмуртская Республика,Udmurt
81,Ульяновская область,Ul'yanovsk
83,Владимирская область,Vladimir
84,Волгоградская область,Volgograd
85,Вологодская область,Vologda
86,Воронежская область,Voronezh
87,Ямало-Ненецкий АО,Yamal-Nenets
88,Ярославская область,Yaroslavl'
89,Еврейская АО,Yevrey
